INFO  | 06/29/2022 02:10:31 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10037 iteration 00000585 = 0.1511235386133194
INFO  | 06/29/2022 02:10:35 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10038 iteration 00000600 = 0.14424829185009003
INFO  | 06/29/2022 02:10:39 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10039 iteration 00000615 = 0.15937697887420654
INFO  | 06/29/2022 02:10:43 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10040 iteration 00000630 = 0.15384817123413086
INFO  | 06/29/2022 02:10:48 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10041 iteration 00000645 = 0.1646299809217453
INFO  | 06/29/2022 02:10:52 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10042 iteration 00000660 = 0.1381833702325821
INFO  | 06/29/2022 02:10:57 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10043 iteration 00000675 = 0.1431782990694046
INFO  | 06/29/2022 02:11:01 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10044 iteration 00000690 = 0.11298351734876633
INFO  | 06/29/2022 02:11:05 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10045 iteration 00000705 = 0.14888137578964233
INFO  | 06/29/2022 02:11:10 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10045 iteration 00000720 = 0.12801766395568848
INFO  | 06/29/2022 02:11:14 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10046 iteration 00000735 = 0.11823616176843643
INFO  | 06/29/2022 02:11:18 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10047 iteration 00000750 = 0.10298889875411987
INFO  | 06/29/2022 02:11:22 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10048 iteration 00000765 = 0.1482814997434616
INFO  | 06/29/2022 02:11:26 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10049 iteration 00000780 = 0.15090492367744446
INFO  | 06/29/2022 02:11:31 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10050 iteration 00000795 = 0.12856552004814148
INFO  | 06/29/2022 02:11:34 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10051 iteration 00000810 = 0.13785798847675323
INFO  | 06/29/2022 02:11:39 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10052 iteration 00000825 = 0.15779303014278412
INFO  | 06/29/2022 02:11:43 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10053 iteration 00000840 = 0.12457118183374405
INFO  | 06/29/2022 02:11:48 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10054 iteration 00000855 = 0.1650514006614685
INFO  | 06/29/2022 02:11:53 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10055 iteration 00000870 = 0.14762215316295624
INFO  | 06/29/2022 02:11:57 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10056 iteration 00000885 = 0.1580016314983368
INFO  | 06/29/2022 02:12:02 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10057 iteration 00000900 = 0.16845187544822693
INFO  | 06/29/2022 02:12:06 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10058 iteration 00000915 = 0.1142205223441124
INFO  | 06/29/2022 02:12:10 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10059 iteration 00000930 = 0.16541357338428497
INFO  | 06/29/2022 02:12:15 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10060 iteration 00000945 = 0.15089748799800873
INFO  | 06/29/2022 02:12:19 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10060 iteration 00000960 = 0.12395405024290085
INFO  | 06/29/2022 02:12:24 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10061 iteration 00000975 = 0.11189910024404526
INFO  | 06/29/2022 02:12:28 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10062 iteration 00000990 = 0.13102088868618011
INFO  | 06/29/2022 02:12:33 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10063 iteration 00001005 = 0.15071120858192444
INFO  | 06/29/2022 02:12:37 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10064 iteration 00001020 = 0.11656687408685684
INFO  | 06/29/2022 02:12:42 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10065 iteration 00001035 = 0.17501652240753174
INFO  | 06/29/2022 02:12:46 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10066 iteration 00001050 = 0.1570105403661728
INFO  | 06/29/2022 02:12:51 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10067 iteration 00001065 = 0.1583373099565506
INFO  | 06/29/2022 02:12:55 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10068 iteration 00001080 = 0.13640370965003967
INFO  | 06/29/2022 02:13:00 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10069 iteration 00001095 = 0.11746560782194138
INFO  | 06/29/2022 02:13:04 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10070 iteration 00001110 = 0.13787975907325745
INFO  | 06/29/2022 02:13:09 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10071 iteration 00001125 = 0.15396709740161896
INFO  | 06/29/2022 02:13:13 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10072 iteration 00001140 = 0.17091004550457
INFO  | 06/29/2022 02:13:18 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10073 iteration 00001155 = 0.18637199699878693
INFO  | 06/29/2022 02:13:22 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10074 iteration 00001170 = 0.13402710855007172
INFO  | 06/29/2022 02:13:27 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10075 iteration 00001185 = 0.13852594792842865
INFO  | 06/29/2022 02:13:32 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10075 iteration 00001200 = 0.16168349981307983
INFO  | 06/29/2022 02:13:36 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10076 iteration 00001215 = 0.1174515038728714
INFO  | 06/29/2022 02:13:40 PM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 10077 iteration 00001230 = 0.16794781386852264
