INFO  | 06/16/2022 09:51:09 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0712 iteration 00000185 = 0.14656904339790344
INFO  | 06/16/2022 09:51:14 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0712 iteration 00000190 = 0.1481165885925293
INFO  | 06/16/2022 09:51:16 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0712
INFO  | 06/16/2022 09:51:19 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0713 iteration 00000195 = 0.13457933068275452
INFO  | 06/16/2022 09:51:24 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0713 iteration 00000200 = 0.12066217511892319
INFO  | 06/16/2022 09:51:29 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0713 iteration 00000205 = 0.15843228995800018
INFO  | 06/16/2022 09:51:34 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0714 iteration 00000210 = 0.14725366234779358
INFO  | 06/16/2022 09:51:39 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0714 iteration 00000215 = 0.1255074441432953
INFO  | 06/16/2022 09:51:44 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0714 iteration 00000220 = 0.131373792886734
INFO  | 06/16/2022 09:51:49 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0715 iteration 00000225 = 0.19033348560333252
INFO  | 06/16/2022 09:51:55 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0715 iteration 00000230 = 0.17111334204673767
INFO  | 06/16/2022 09:51:59 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0715 iteration 00000235 = 0.14451618492603302
INFO  | 06/16/2022 09:52:04 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0715 iteration 00000240 = 0.20377929508686066
INFO  | 06/16/2022 09:52:10 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0716 iteration 00000245 = 0.1985662877559662
INFO  | 06/16/2022 09:52:14 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0716 iteration 00000250 = 0.17839787900447845
INFO  | 06/16/2022 09:52:19 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0716 iteration 00000255 = 0.14373189210891724
INFO  | 06/16/2022 09:52:20 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0716
INFO  | 06/16/2022 09:52:24 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0717 iteration 00000260 = 0.14966922998428345
INFO  | 06/16/2022 09:52:29 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0717 iteration 00000265 = 0.20453786849975586
INFO  | 06/16/2022 09:52:34 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0717 iteration 00000270 = 0.14721587300300598
INFO  | 06/16/2022 09:52:39 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0718 iteration 00000275 = 0.1578764021396637
INFO  | 06/16/2022 09:52:44 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0718 iteration 00000280 = 0.13478223979473114
INFO  | 06/16/2022 09:52:49 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0718 iteration 00000285 = 0.11319444328546524
INFO  | 06/16/2022 09:52:53 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0719 iteration 00000290 = 0.16932658851146698
INFO  | 06/16/2022 09:52:58 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0719 iteration 00000295 = 0.15586404502391815
INFO  | 06/16/2022 09:53:03 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0719 iteration 00000300 = 0.15081912279129028
INFO  | 06/16/2022 09:53:08 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0720 iteration 00000305 = 0.15965822339057922
INFO  | 06/16/2022 09:53:13 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0720 iteration 00000310 = 0.16518773138523102
INFO  | 06/16/2022 09:53:17 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0720 iteration 00000315 = 0.13490423560142517
INFO  | 06/16/2022 09:53:22 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0720 iteration 00000320 = 0.16900715231895447
INFO  | 06/16/2022 09:53:22 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0720
