INFO  | 06/19/2022 09:27:35 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7507 iteration 00000195 = 0.1085740476846695
INFO  | 06/19/2022 09:27:38 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7507 iteration 00000200 = 0.1135142371058464
INFO  | 06/19/2022 09:27:41 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7507 iteration 00000205 = 0.0796428844332695
INFO  | 06/19/2022 09:27:44 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7507 iteration 00000210 = 0.11944489926099777
INFO  | 06/19/2022 09:27:47 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7507 iteration 00000215 = 0.10154677927494049
INFO  | 06/19/2022 09:27:49 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7507 iteration 00000220 = 0.092715784907341
INFO  | 06/19/2022 09:27:52 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7508 iteration 00000225 = 0.2172737419605255
INFO  | 06/19/2022 09:27:54 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7508 iteration 00000230 = 0.11531555652618408
INFO  | 06/19/2022 09:27:57 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7508 iteration 00000235 = 0.10620715469121933
INFO  | 06/19/2022 09:28:00 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7508 iteration 00000240 = 0.13973772525787354
INFO  | 06/19/2022 09:28:02 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7508 iteration 00000245 = 0.10681165754795074
INFO  | 06/19/2022 09:28:05 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7508 iteration 00000250 = 0.09203504770994186
INFO  | 06/19/2022 09:28:08 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7508 iteration 00000255 = 0.08896198868751526
INFO  | 06/19/2022 09:28:10 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7509 iteration 00000260 = 0.1458105891942978
INFO  | 06/19/2022 09:28:12 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7509 iteration 00000265 = 0.13446402549743652
INFO  | 06/19/2022 09:28:15 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7509 iteration 00000270 = 0.12418041378259659
INFO  | 06/19/2022 09:28:18 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7509 iteration 00000275 = 0.1085318922996521
INFO  | 06/19/2022 09:28:21 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7509 iteration 00000280 = 0.08697792142629623
INFO  | 06/19/2022 09:28:23 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7509 iteration 00000285 = 0.08825727552175522
INFO  | 06/19/2022 09:28:26 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7510 iteration 00000290 = 0.05745575949549675
INFO  | 06/19/2022 09:28:28 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7510 iteration 00000295 = 0.14550261199474335
INFO  | 06/19/2022 09:28:31 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7510 iteration 00000300 = 0.131021648645401
INFO  | 06/19/2022 09:28:34 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7510 iteration 00000305 = 0.1480247527360916
INFO  | 06/19/2022 09:28:37 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7510 iteration 00000310 = 0.1310235857963562
INFO  | 06/19/2022 09:28:39 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7510 iteration 00000315 = 0.1518784612417221
INFO  | 06/19/2022 09:28:42 AM | File gran_runner.py       | Line 286   | NLL Loss @ epoch 7510 iteration 00000320 = 0.10202665627002716
