INFO  | 06/17/2022 09:02:44 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0918 iteration 00000190 = 0.17904451489448547
INFO  | 06/17/2022 09:02:49 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0919 iteration 00000195 = 0.08702896535396576
INFO  | 06/17/2022 09:02:54 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0919 iteration 00000200 = 0.150850310921669
INFO  | 06/17/2022 09:02:59 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0919 iteration 00000205 = 0.1329958140850067
INFO  | 06/17/2022 09:03:05 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0919 iteration 00000210 = 0.10349641740322113
INFO  | 06/17/2022 09:03:10 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0919 iteration 00000215 = 0.10391776263713837
INFO  | 06/17/2022 09:03:15 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0919 iteration 00000220 = 0.1447344720363617
INFO  | 06/17/2022 09:03:20 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0920 iteration 00000225 = 0.15628071129322052
INFO  | 06/17/2022 09:03:25 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0920 iteration 00000230 = 0.21973609924316406
INFO  | 06/17/2022 09:03:30 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0920 iteration 00000235 = 0.1476665735244751
INFO  | 06/17/2022 09:03:35 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0920 iteration 00000240 = 0.13741609454154968
INFO  | 06/17/2022 09:03:41 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0920 iteration 00000245 = 0.2236352413892746
INFO  | 06/17/2022 09:03:45 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0920 iteration 00000250 = 0.18656066060066223
INFO  | 06/17/2022 09:03:50 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0920 iteration 00000255 = 0.16771751642227173
INFO  | 06/17/2022 09:03:51 AM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0920
INFO  | 06/17/2022 09:03:55 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0921 iteration 00000260 = 0.17652545869350433
INFO  | 06/17/2022 09:04:00 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0921 iteration 00000265 = 0.19213445484638214
INFO  | 06/17/2022 09:04:05 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0921 iteration 00000270 = 0.1494324654340744
INFO  | 06/17/2022 09:04:10 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0921 iteration 00000275 = 0.1446588933467865
INFO  | 06/17/2022 09:04:15 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0921 iteration 00000280 = 0.2039138376712799
INFO  | 06/17/2022 09:04:20 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0921 iteration 00000285 = 0.14689229428768158
INFO  | 06/17/2022 09:04:25 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0922 iteration 00000290 = 0.16486003994941711
INFO  | 06/17/2022 09:04:30 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0922 iteration 00000295 = 0.16307415068149567
INFO  | 06/17/2022 09:04:34 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0922 iteration 00000300 = 0.18464401364326477
INFO  | 06/17/2022 09:04:39 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0922 iteration 00000305 = 0.1434859186410904
INFO  | 06/17/2022 09:04:44 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0922 iteration 00000310 = 0.1292763650417328
INFO  | 06/17/2022 09:04:49 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0922 iteration 00000315 = 0.1392180621623993
INFO  | 06/17/2022 09:04:54 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0922 iteration 00000320 = 0.15714891254901886
