INFO  | 06/22/2022 09:46:58 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0007 iteration 00000195 = 0.30660077929496765
INFO  | 06/22/2022 09:46:59 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0007 iteration 00000200 = 0.22147302329540253
INFO  | 06/22/2022 09:47:00 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0007 iteration 00000205 = 0.1387626975774765
INFO  | 06/22/2022 09:47:00 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0007 iteration 00000210 = 0.23775163292884827
INFO  | 06/22/2022 09:47:01 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0007 iteration 00000215 = 0.41456326842308044
INFO  | 06/22/2022 09:47:02 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0007 iteration 00000220 = 0.1537477970123291
INFO  | 06/22/2022 09:47:03 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0008 iteration 00000225 = 0.34493687748908997
INFO  | 06/22/2022 09:47:04 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0008 iteration 00000230 = 0.3027086853981018
INFO  | 06/22/2022 09:47:04 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0008 iteration 00000235 = 0.4011197090148926
INFO  | 06/22/2022 09:47:05 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0008 iteration 00000240 = 0.3438264727592468
INFO  | 06/22/2022 09:47:06 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0008 iteration 00000245 = 0.2977755665779114
INFO  | 06/22/2022 09:47:07 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0008 iteration 00000250 = 0.355307936668396
INFO  | 06/22/2022 09:47:07 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0008 iteration 00000255 = 0.28884267807006836
INFO  | 06/22/2022 09:47:08 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0009 iteration 00000260 = 0.19698767364025116
INFO  | 06/22/2022 09:47:09 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0009 iteration 00000265 = 0.2786122262477875
INFO  | 06/22/2022 09:47:09 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0009 iteration 00000270 = 0.5059159398078918
INFO  | 06/22/2022 09:47:10 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0009 iteration 00000275 = 0.2419314831495285
INFO  | 06/22/2022 09:47:11 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0009 iteration 00000280 = 0.1970868557691574
INFO  | 06/22/2022 09:47:11 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0009 iteration 00000285 = 0.2194216251373291
INFO  | 06/22/2022 09:47:12 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0010 iteration 00000290 = 0.2033437341451645
INFO  | 06/22/2022 09:47:13 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0010 iteration 00000295 = 0.21195705235004425
