INFO  | 06/29/2022 07:06:13 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20019 iteration 00000585 = 0.07868973165750504
INFO  | 06/29/2022 07:06:16 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20019 iteration 00000600 = 0.11841090023517609
INFO  | 06/29/2022 07:06:19 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20020 iteration 00000615 = 0.10134246200323105
INFO  | 06/29/2022 07:06:22 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20020 iteration 00000630 = 0.039487358182668686
INFO  | 06/29/2022 07:06:25 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20021 iteration 00000645 = 0.09764593839645386
INFO  | 06/29/2022 07:06:28 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20021 iteration 00000660 = 0.15359719097614288
INFO  | 06/29/2022 07:06:31 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20022 iteration 00000675 = 0.07292169332504272
INFO  | 06/29/2022 07:06:35 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20022 iteration 00000690 = 0.09090476483106613
INFO  | 06/29/2022 07:06:37 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20023 iteration 00000705 = 0.11382517963647842
INFO  | 06/29/2022 07:06:40 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20023 iteration 00000720 = 0.06234670802950859
INFO  | 06/29/2022 07:06:43 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20023 iteration 00000735 = 0.11542761325836182
INFO  | 06/29/2022 07:06:47 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20024 iteration 00000750 = 0.11042815446853638
INFO  | 06/29/2022 07:06:50 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20024 iteration 00000765 = 0.06707586348056793
INFO  | 06/29/2022 07:06:53 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20025 iteration 00000780 = 0.06359975785017014
INFO  | 06/29/2022 07:06:56 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20025 iteration 00000795 = 0.12429783493280411
INFO  | 06/29/2022 07:06:59 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20026 iteration 00000810 = 0.029088055714964867
INFO  | 06/29/2022 07:07:02 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20026 iteration 00000825 = 0.09909708797931671
INFO  | 06/29/2022 07:07:05 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20027 iteration 00000840 = 0.07716239243745804
